年,月,地域区分,データ区分,地域コード,地域名称,人数
2021,3,都道府県,観光来訪者数,5,秋田県,445406
2021,3,都道府県,観光来訪者数,6,山形県,460732
2021,3,都道府県,観光来訪者数,7,福島県,1049482
2021,3,都道府県,観光来訪者数,8,茨城県,1568963
2021,3,都道府県,観光来訪者数,9,栃木県,1828210
2021,3,都道府県,観光来訪者数,10,群馬県,1261990
2021,3,都道府県,観光来訪者数,11,埼玉県,1765600
2021,3,都道府県,観光来訪者数,12,千葉県,2661629
2021,3,都道府県,観光来訪者数,13,東京都,6819711
2021,3,都道府県,観光来訪者数,14,神奈川県,2392634
2021,3,都道府県,観光来訪者数,15,新潟県,1375401
2021,3,都道府県,観光来訪者数,16,富山県,393290
2021,3,都道府県,観光来訪者数,17,石川県,612824
2021,3,都道府県,観光来訪者数,18,福井県,441654
2021,3,都道府県,観光来訪者数,19,山梨県,846899
2021,3,都道府県,観光来訪者数,20,長野県,1991582
2021,3,都道府県,観光来訪者数,21,岐阜県,1536793
2021,3,都道府県,観光来訪者数,22,静岡県,3160569
2021,3,都道府県,観光来訪者数,23,愛知県,2579684
2021,3,都道府県,観光来訪者数,24,三重県,1368030
2021,3,都道府県,観光来訪者数,25,滋賀県,998541
2021,3,都道府県,観光来訪者数,26,京都府,2147173
2021,3,都道府県,観光来訪者数,27,大阪府,2824773
2021,3,都道府県,観光来訪者数,28,兵庫県,3537586
2021,3,都道府県,観光来訪者数,29,奈良県,953542
2021,3,都道府県,観光来訪者数,30,和歌山県,628457
2021,3,都道府県,観光来訪者数,31,鳥取県,329226
2021,3,都道府県,観光来訪者数,32,島根県,557656
2021,3,都道府県,観光来訪者数,33,岡山県,1155801
2021,3,都道府県,観光来訪者数,34,広島県,1399969
2021,3,都道府県,観光来訪者数,35,山口県,766357
2021,3,都道府県,観光来訪者数,36,徳島県,390294
2021,3,都道府県,観光来訪者数,37,香川県,432136
2021,3,都道府県,観光来訪者数,38,愛媛県,619572
2021,3,都道府県,観光来訪者数,39,高知県,401040
2021,3,都道府県,観光来訪者数,40,福岡県,2046791
2021,3,都道府県,観光来訪者数,41,佐賀県,542142
2021,3,都道府県,観光来訪者数,42,長崎県,492446
2021,3,都道府県,観光来訪者数,43,熊本県,1249720
2021,3,都道府県,観光来訪者数,44,大分県,903226
2021,3,都道府県,観光来訪者数,45,宮崎県,610797
2021,3,都道府県,観光来訪者数,46,鹿児島県,715486
2021,3,都道府県,観光来訪者数,47,沖縄県,625863
2021,4,都道府県,観光来訪者数,1,北海道,2181538
2021,4,都道府県,観光来訪者数,2,青森県,727268
2021,4,都道府県,観光来訪者数,3,岩手県,647405
2021,4,都道府県,観光来訪者数,4,宮城県,1079791
2021,4,都道府県,観光来訪者数,5,秋田県,563205
2021,4,都道府県,観光来訪者数,6,山形県,469742
2021,4,都道府県,観光来訪者数,7,福島県,1199411
2021,4,都道府県,観光来訪者数,8,茨城県,1803142
2021,4,都道府県,観光来訪者数,9,栃木県,2040322
2021,4,都道府県,観光来訪者数,10,群馬県,1301900
2021,4,都道府県,観光来訪者数,11,埼玉県,1979180
2021,4,都道府県,観光来訪者数,12,千葉県,3186609
2021,4,都道府県,観光来訪者数,13,東京都,6469236
2021,4,都道府県,観光来訪者数,14,神奈川県,2566817
2021,4,都道府県,観光来訪者数,15,新潟県,1279771
2021,4,都道府県,観光来訪者数,16,富山県,467237
2021,4,都道府県,観光来訪者数,17,石川県,590081
2021,4,都道府県,観光来訪者数,18,福井県,390139
2021,4,都道府県,観光来訪者数,19,山梨県,988435
2021,4,都道府県,観光来訪者数,20,長野県,1696734
2021,4,都道府県,観光来訪者数,21,岐阜県,1541391
2021,4,都道府県,観光来訪者数,22,静岡県,3071910
2021,4,都道府県,観光来訪者数,23,愛知県,2477327
2021,4,都道府県,観光来訪者数,24,三重県,1236932
2021,4,都道府県,観光来訪者数,25,滋賀県,979781
2021,4,都道府県,観光来訪者数,26,京都府,1496138
2021,4,都道府県,観光来訪者数,27,大阪府,2138780
2021,4,都道府県,観光来訪者数,28,兵庫県,2785270
2021,4,都道府県,観光来訪者数,29,奈良県,915919
2021,4,都道府県,観光来訪者数,30,和歌山県,531834
2021,4,都道府県,観光来訪者数,31,鳥取県,312374
2021,4,都道府県,観光来訪者数,32,島根県,519713
2021,4,都道府県,観光来訪者数,33,岡山県,1110917
2021,4,都道府県,観光来訪者数,34,広島県,1406986
2021,4,都道府県,観光来訪者数,35,山口県,741977
2021,4,都道府県,観光来訪者数,36,徳島県,358873
2021,4,都道府県,観光来訪者数,37,香川県,373349
2021,4,都道府県,観光来訪者数,38,愛媛県,430727
2021,4,都道府県,観光来訪者数,39,高知県,375755
2021,4,都道府県,観光来訪者数,40,福岡県,1994689
2021,4,都道府県,観光来訪者数,41,佐賀県,552588
2021,4,都道府県,観光来訪者数,42,長崎県,490186
2021,4,都道府県,観光来訪者数,43,熊本県,1223175
2021,4,都道府県,観光来訪者数,44,大分県,906738
2021,4,都道府県,観光来訪者数,45,宮崎県,544926
2021,4,都道府県,観光来訪者数,46,鹿児島県,682230
